frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf
237,2,6,20.6,502.5,0.5919,,,,284.3,581.1,0.1451,78.3,713.7,0.2555,477.9,851.3,0.223,313.1,792.3,0.7467,560.3,1028.2,0.1344
240,4,4,3245.0,872.7,0.7257,,,,,,,3160.2,962.9,0.2233,3337.6,828.9,0.1155,3412.2,1130.4,0.3569,,,
243,2,6,531.7,1129.4,0.1429,,,,677.1,962.2,0.1237,62.3,724.0,0.3021,456.9,825.3,0.1448,299.1,779.7,0.7782,685.4,972.3,0.1352
246,2,4,,,,,,,,,,54.3,725.1,0.1747,325.9,689.3,0.1252,288.3,771.1,0.6174,681.0,970.4,0.1371
246,4,4,3250.1,880.2,0.5443,3152.6,962.4,0.1086,,,,3157.7,965.0,0.1817,,,,3411.9,1134.4,0.439,,,
249,2,3,,,,,,,,,,50.5,714.4,0.1494,315.9,678.5,0.1284,791.8,596.5,0.2649,,,
249,4,4,3254.4,880.2,0.3983,3150.2,968.4,0.1186,,,,3156.2,970.4,0.1322,,,,3248.4,970.4,0.1834,,,
252,2,3,,,,,,,,,,71.8,722.9,0.1449,,,,768.2,532.0,0.1221,515.0,975.7,0.1194
252,4,3,3255.2,881.9,0.5087,,,,,,,3150.2,969.2,0.129,,,,3430.2,1091.5,0.1036,,,
255,2,3,484.1,307.0,0.1437,,,,,,,66.8,722.1,0.1713,,,,767.8,532.5,0.7374,,,
255,4,4,3256.2,882.7,0.7046,3151.2,965.7,0.1071,,,,3153.6,965.7,0.1666,,,,3405.2,1129.4,0.4604,,,
258,2,2,,,,,,,,,,65.9,723.7,0.1535,,,,762.2,526.5,0.7195,,,
258,4,3,3255.8,885.2,0.6826,,,,,,,3162.4,964.2,0.1513,,,,3411.4,1131.8,0.5118,,,
261,4,4,3258.7,887.4,0.435,3162.2,965.3,0.1322,,,,3166.0,967.2,0.2102,,,,3362.7,948.6,0.2261,,,
261,2,4,468.8,304.6,0.1338,,,,,,,61.2,717.3,0.163,69.3,717.3,0.1052,750.2,516.0,0.9041,,,
264,2,4,465.8,1071.2,0.1211,,,,,,,59.7,717.4,0.1988,67.7,717.4,0.1245,222.9,707.6,0.4166,,,
264,4,2,3260.4,887.9,0.5319,,,,,,,3162.3,966.8,0.1204,,,,,,,,,
264,2,2,467.1,1069.2,0.1407,,,,,,,,,,,,,,,,343.2,819.5,0.1047
267,2,2,,,,,,,,,,58.3,713.8,0.1855,,,,217.8,704.2,0.5843,,,
267,4,4,3263.0,890.3,0.6247,3160.6,965.9,0.1583,,,,3160.6,965.9,0.1314,,,,3408.0,1136.4,0.387,,,
270,2,4,440.6,1063.2,0.1136,,,,,,,58.5,701.2,0.1353,,,,206.6,691.6,0.5565,487.4,957.0,0.1199
270,4,3,3263.0,891.0,0.7681,,,,,,,3163.0,969.0,0.1855,,,,3429.0,1105.0,0.1768,,,
273,2,4,433.1,1054.9,0.1194,,,,,,,51.2,693.8,0.1732,,,,189.0,674.0,0.3672,444.9,911.4,0.1574
273,4,2,3264.6,892.7,0.9098,,,,,,,3166.9,967.7,0.2765,,,,,,,,,
276,4,5,3265.0,893.6,0.7884,3158.7,969.7,0.1748,,,,3164.4,967.8,0.1614,3209.9,958.3,0.1535,3409.3,1133.5,0.1283,,,
276,2,3,429.7,1032.6,0.1067,,,,,,,,,,,,,705.9,469.0,0.31,448.9,912.1,0.195
279,4,3,3267.7,893.4,0.8594,3160.5,966.8,0.1285,,,,3164.5,962.9,0.1733,,,,,,,,,
279,2,6,414.1,1028.4,0.361,,,,572.2,878.0,0.1585,429.1,1037.8,0.1156,485.6,1014.3,0.1117,180.7,666.4,0.5417,451.7,920.3,0.1081
279,2,4,416.7,1027.1,0.2417,,,,571.6,882.4,0.2045,,,,335.6,1420.7,0.136,,,,449.9,922.9,0.193
282,2,4,404.1,1024.2,0.4049,,,,571.9,873.7,0.3075,,,,,,,697.7,460.9,0.3451,415.6,868.8,0.1663
282,4,5,3267.7,893.2,0.9808,3166.4,968.5,0.2074,,,,3171.1,968.5,0.1843,,,,3411.4,1133.5,0.1629,3442.0,1166.4,0.129
282,2,3,404.4,1023.8,0.4048,,,,572.9,874.6,0.2683,,,,,,,,,,424.6,879.8,0.1367
285,2,4,394.3,1019.8,0.2907,,,,567.0,871.5,0.3006,,,,,,,146.4,622.7,0.5806,416.8,885.8,0.2103
285,4,4,3267.1,895.4,1.0696,3164.8,965.9,0.1902,,,,3169.3,965.9,0.2017,,,,3414.9,1134.2,0.2245,,,
285,2,3,394.8,1017.6,0.2471,,,,565.0,872.1,0.2508,,,,,,,,,,418.7,882.5,0.1868
288,2,4,388.5,1010.7,0.1823,,,,557.7,866.2,0.2306,,,,,,,142.3,622.2,0.5263,423.1,896.1,0.1489
288,2,3,131.1,1500.8,0.1129,,,,322.4,1356.8,0.3046,,,,,,,,,,414.6,886.1,0.1841
288,4,5,3269.8,893.2,0.9031,3164.1,960.0,0.2224,,,,3168.7,960.0,0.2004,,,,3410.0,1128.1,0.2872,3451.4,1171.9,0.1055
291,4,5,3269.8,895.7,1.0701,3160.2,957.1,0.1391,,,,3162.3,957.1,0.2557,,,,3412.3,1130.3,0.1686,3453.9,1174.1,0.1156
291,2,4,385.0,1004.1,0.3036,,,,555.3,852.9,0.1573,,,,,,,133.3,611.9,0.9167,373.9,843.5,0.1597
294,4,5,3272.2,894.0,0.8092,,,,,,,3164.6,962.5,0.1728,3188.1,941.0,0.1009,3262.4,978.1,0.2758,3444.4,1166.0,0.1164
294,2,2,378.2,1000.1,0.5008,,,,,,,,,,,,,,,,368.6,839.6,0.1686
294,2,4,378.3,1001.4,0.5097,,,,547.3,842.2,0.1139,,,,,,,657.5,420.8,0.4013,382.0,851.6,0.1928
297,4,4,3270.8,896.7,0.8307,,,,,,,3162.9,960.2,0.1426,,,,3408.3,1131.5,0.1903,3454.8,983.5,0.1402
300,4,2,3272.2,896.5,0.7911,,,,,,,,,,,,,3266.5,980.0,0.3212,,,
303,4,3,3274.1,897.1,0.7446,,,,,,,3167.6,960.5,0.1656,,,,3399.0,1128.0,0.1558,,,
306,4,4,3276.6,897.3,0.7975,3165.2,954.9,0.1861,,,,3169.3,959.0,0.2242,,,,3385.9,1119.5,0.1002,,,
309,4,4,3277.8,901.0,0.8812,3170.9,958.2,0.1532,,,,3172.8,958.2,0.2716,,,,3399.9,1128.1,0.3004,,,
