frame,class_name,confidence,bbox,num_merged,merged_classes
495,marine mammal,0.3015415668487549,"[954.3270263671875, 647.051025390625, 1186.4989013671875, 1352.818603515625]",2,"{'marine mammal': 0.05612936243414879, 'whale': 0.11275827884674072}"
495,whale,0.23959790170192719,"[430.5428466796875, 765.2638549804688, 786.0569458007812, 1129.474365234375]",1,{'whale': 0.23959790170192719}
495,marine mammal,0.09811003506183624,"[521.0593872070312, 1067.7762451171875, 908.9932861328125, 1512.0733642578125]",1,{'marine mammal': 0.09811003506183624}
495,marine mammal,0.07612479478120804,"[430.0317077636719, 764.6665649414062, 854.3357543945312, 1438.007568359375]",1,{'marine mammal': 0.07612479478120804}
510,whale,0.07820457220077515,"[468.59490966796875, 784.8883666992188, 810.8472290039062, 1127.862060546875]",1,{'whale': 0.07820457220077515}
525,marine mammal,0.1826849728822708,"[584.0387573242188, 1161.3900146484375, 1030.7376708984375, 1674.8323974609375]",1,{'marine mammal': 0.1826849728822708}
525,whale,0.1821954995393753,"[1576.6182861328125, 684.4625244140625, 1741.9771728515625, 1214.4576416015625]",1,{'whale': 0.1821954995393753}
525,whale,0.054275188595056534,"[482.2103576660156, 823.8340454101562, 814.0628051757812, 1198.4793701171875]",1,{'whale': 0.054275188595056534}
525,marine mammal,0.054074693471193314,"[972.6582641601562, 727.8938598632812, 1335.3458251953125, 1533.9306640625]",1,{'marine mammal': 0.054074693471193314}
540,marine mammal,0.11102905124425888,"[1496.4833984375, 721.196044921875, 1929.392333984375, 1562.2218017578125]",1,{'marine mammal': 0.11102905124425888}
555,marine mammal,0.21702085435390472,"[1525.330322265625, 781.0994262695312, 1808.0723876953125, 1340.400390625]",2,"{'marine mammal': 0.1555463820695877, 'whale': 0.06475882232189178}"
555,marine mammal,0.10780731588602066,"[990.9656982421875, 838.7237548828125, 1356.44091796875, 1648.348388671875]",1,{'marine mammal': 0.10780731588602066}
555,marine mammal,0.05444275215268135,"[508.2129211425781, 932.9710693359375, 1043.070556640625, 1754.876220703125]",1,{'marine mammal': 0.05444275215268135}
570,marine mammal,0.6572063565254211,"[1541.5286865234375, 821.7365112304688, 1824.5877685546875, 1393.630126953125]",2,"{'marine mammal': 0.5281824469566345, 'whale': 0.0922333225607872}"
570,marine mammal,0.42656955122947693,"[996.8653564453125, 880.6611328125, 1366.9482421875, 1694.548095703125]",1,{'marine mammal': 0.13946916162967682}
570,whale,0.23086947202682495,"[516.9593505859375, 972.677490234375, 861.2489013671875, 1339.907958984375]",1,{'whale': 0.23086947202682495}
585,marine mammal,0.24213001132011414,"[988.29931640625, 918.362548828125, 1363.465576171875, 1692.8785400390625]",1,{'marine mammal': 0.24213001132011414}
585,marine mammal,0.24195891618728638,"[1542.802001953125, 839.171630859375, 1821.55078125, 1540.6422119140625]",1,{'marine mammal': 0.24195891618728638}
585,whale,0.23250852525234222,"[1610.217041015625, 840.8082275390625, 1744.695556640625, 1007.319580078125]",1,{'whale': 0.23250852525234222}
585,marine mammal,0.23054397106170654,"[614.8790893554688, 1373.0264892578125, 1114.4073486328125, 1920.56103515625]",1,{'marine mammal': 0.23054397106170654}
585,marine mammal,0.10857537388801575,"[1657.4725341796875, 1212.23779296875, 1808.6656494140625, 1594.2012939453125]",2,"{'marine mammal': 0.10857537388801575, 'whale': 0.05113152787089348}"
585,marine mammal,0.08868253976106644,"[1072.70654296875, 1228.118408203125, 1366.4835205078125, 1731.8818359375]",1,{'marine mammal': 0.08868253976106644}
585,marine mammal,0.07682967931032181,"[496.0121154785156, 1009.213623046875, 1113.982177734375, 1935.2149658203125]",1,{'marine mammal': 0.07682967931032181}
600,marine mammal,0.6556060314178467,"[1544.596923828125, 843.2076416015625, 1844.9063720703125, 1633.5062255859375]",1,{'marine mammal': 0.6556060314178467}
600,marine mammal,0.34457868337631226,"[997.4219970703125, 947.4153442382812, 1372.282470703125, 1763.418212890625]",1,{'marine mammal': 0.12264455854892731}
600,marine mammal,0.053081318736076355,"[517.5199584960938, 1030.6973876953125, 884.9851684570312, 1881.046142578125]",1,{'marine mammal': 0.053081318736076355}
615,marine mammal,0.7559759616851807,"[1525.4937744140625, 819.6943359375, 1881.77490234375, 1646.80224609375]",1,{'marine mammal': 0.7559759616851807}
615,marine mammal,0.4498133957386017,"[982.3817138671875, 954.0763549804688, 1369.0760498046875, 1779.739501953125]",1,{'marine mammal': 0.4498133957386017}
615,marine mammal,0.24401837587356567,"[496.6216735839844, 1049.89111328125, 1027.873046875, 1903.2396240234375]",1,{'marine mammal': 0.24401837587356567}
630,marine mammal,0.7315396070480347,"[1496.47265625, 758.7702026367188, 1915.042236328125, 1607.5880126953125]",1,{'marine mammal': 0.7315396070480347}
630,marine mammal,0.15616974234580994,"[955.9685668945312, 951.4044799804688, 1260.398193359375, 1645.74169921875]",1,{'marine mammal': 0.15616974234580994}
630,marine mammal,0.08360042423009872,"[497.7997741699219, 1074.9873046875, 847.7711791992188, 1712.3397216796875]",1,{'marine mammal': 0.06179991737008095}
630,marine mammal,0.06566818058490753,"[497.6545715332031, 1075.1224365234375, 1035.6126708984375, 1979.7601318359375]",1,{'marine mammal': 0.06566818058490753}
645,marine mammal,0.6904447078704834,"[1464.0008544921875, 662.0095825195312, 1954.8231201171875, 1533.138427734375]",1,{'marine mammal': 0.6904447078704834}
645,marine mammal,0.11753573268651962,"[920.3682861328125, 911.502685546875, 1384.16162109375, 1673.764892578125]",1,{'marine mammal': 0.11753573268651962}
645,marine mammal,0.1015528067946434,"[492.38726806640625, 1058.481689453125, 899.3291015625, 1943.8472900390625]",1,{'marine mammal': 0.1015528067946434}
660,marine mammal,0.2812895178794861,"[1434.1029052734375, 533.5294189453125, 1974.5262451171875, 1372.123291015625]",1,{'marine mammal': 0.2812895178794861}
660,marine mammal,0.1492300033569336,"[453.4166564941406, 969.65771484375, 880.087890625, 1719.7335205078125]",1,{'marine mammal': 0.1492300033569336}
660,marine mammal,0.11703387647867203,"[875.3590087890625, 804.94482421875, 1250.1033935546875, 1459.71533203125]",1,{'marine mammal': 0.11703387647867203}
675,marine mammal,0.29384636878967285,"[1377.911376953125, 166.45687866210938, 1988.9139404296875, 1202.2149658203125]",1,{'marine mammal': 0.29384636878967285}
690,marine mammal,0.8686005473136902,"[1313.71484375, 1.474273681640625, 1974.6007080078125, 1016.2945556640625]",1,{'marine mammal': 0.13076628744602203}
690,marine mammal,0.07419857382774353,"[387.54766845703125, 724.6527099609375, 838.5012817382812, 1445.655029296875]",1,{'marine mammal': 0.07419857382774353}
690,marine mammal,0.05125126615166664,"[780.1494140625, 534.829833984375, 1331.377197265625, 1278.292724609375]",1,{'marine mammal': 0.05125126615166664}
705,marine mammal,0.5676702857017517,"[1226.60009765625, 35.731109619140625, 1815.533935546875, 859.7146606445312]",1,{'marine mammal': 0.5676702857017517}
705,marine mammal,0.05058983340859413,"[702.8058471679688, 36.17413330078125, 1867.5054931640625, 1069.9503173828125]",1,{'marine mammal': 0.05058983340859413}
720,marine mammal,0.8849164247512817,"[1189.836181640625, 1.896697998046875, 1786.2550048828125, 749.1715087890625]",1,{'marine mammal': 0.10814663022756577}
720,marine mammal,0.21262389421463013,"[259.0954284667969, 448.9078063964844, 723.9240112304688, 1176.6256103515625]",1,{'marine mammal': 0.21262389421463013}
720,marine mammal,0.17056654393672943,"[646.3560180664062, 275.4597473144531, 1078.6812744140625, 875.8948974609375]",1,{'marine mammal': 0.17056654393672943}
735,marine mammal,0.7336928248405457,"[1171.6109619140625, 0.0, 1942.196044921875, 712.9588623046875]",1,{'marine mammal': 0.7336928248405457}
735,marine mammal,0.16652128100395203,"[251.18336486816406, 417.92669677734375, 705.4568481445312, 1144.2763671875]",1,{'marine mammal': 0.16652128100395203}
735,marine mammal,0.08217712491750717,"[638.1290893554688, 238.14877319335938, 1035.286376953125, 796.4981689453125]",1,{'marine mammal': 0.08217712491750717}
750,marine mammal,0.9341778755187988,"[1310.3482666015625, 121.10568237304688, 1733.22265625, 683.8743896484375]",1,{'marine mammal': 0.23669245839118958}
750,marine mammal,0.19478389620780945,"[642.6204223632812, 202.72512817382812, 1026.052978515625, 766.23779296875]",1,{'marine mammal': 0.19478389620780945}
750,marine mammal,0.14543746411800385,"[240.25318908691406, 398.634521484375, 672.5577392578125, 1048.691162109375]",1,{'marine mammal': 0.14543746411800385}
750,dorsal fin,0.0769989863038063,"[1511.263671875, 508.7732849121094, 1707.79296875, 686.09130859375]",2,"{'dorsal fin': 0.0769989863038063, 'whale': 0.0624534972012043}"
765,marine mammal,0.4982438087463379,"[1278.827392578125, 150.49099731445312, 1685.7928466796875, 679.5056762695312]",1,{'marine mammal': 0.48660144209861755}
765,marine mammal,0.19483879208564758,"[240.35870361328125, 422.09637451171875, 802.2557983398438, 1211.7847900390625]",1,{'marine mammal': 0.15698495507240295}
765,marine mammal,0.18310554325580597,"[627.7863159179688, 240.89300537109375, 1058.587890625, 859.4190673828125]",1,{'marine mammal': 0.18310554325580597}
765,marine mammal,0.08032125234603882,"[1260.716064453125, 359.4736633300781, 1428.8291015625, 633.65576171875]",1,{'marine mammal': 0.08032125234603882}
780,marine mammal,0.17110784351825714,"[1016.6495361328125, 0.0, 1889.9444580078125, 687.4210205078125]",1,{'marine mammal': 0.15316654741764069}
780,marine mammal,0.06405065208673477,"[234.03988647460938, 529.5862426757812, 810.1349487304688, 1271.0604248046875]",1,{'marine mammal': 0.06405065208673477}
780,marine mammal,0.059467896819114685,"[585.0213623046875, 327.9601135253906, 991.9187622070312, 838.7899169921875]",1,{'marine mammal': 0.059467896819114685}
795,marine mammal,0.6362855434417725,"[971.086669921875, 40.809173583984375, 1646.8843994140625, 706.060546875]",1,{'marine mammal': 0.6362855434417725}
795,marine mammal,0.18294283747673035,"[1173.1612548828125, 250.95538330078125, 1644.9720458984375, 707.1689453125]",1,{'marine mammal': 0.18294283747673035}
795,marine mammal,0.08376766741275787,"[573.1148071289062, 416.1910400390625, 982.0680541992188, 876.711181640625]",1,{'marine mammal': 0.08376766741275787}
795,marine mammal,0.07356447726488113,"[260.1782531738281, 637.8270874023438, 693.8682861328125, 1154.255859375]",1,{'marine mammal': 0.07356447726488113}
810,marine mammal,0.12011973559856415,"[851.8229370117188, 223.36392211914062, 1584.897216796875, 780.11865234375]",1,{'marine mammal': 0.06044356897473335}
810,whale,0.07149861007928848,"[243.25575256347656, 856.450439453125, 717.4683837890625, 1298.430419921875]",1,{'whale': 0.07149861007928848}
