frame,track_id,n_keypoints,rostrum_tip_x,rostrum_tip_y,rostrum_tip_conf,left_caudal_fluke_x,left_caudal_fluke_y,left_caudal_fluke_conf,right_caudal_fluke_x,right_caudal_fluke_y,right_caudal_fluke_conf,left_pect_fin_tip_x,left_pect_fin_tip_y,left_pect_fin_tip_conf,right_pect_fin_tip_x,right_pect_fin_tip_y,right_pect_fin_tip_conf,mid_saddle_patch_x,mid_saddle_patch_y,mid_saddle_patch_conf,Caudal_peduncle_x,Caudal_peduncle_y,Caudal_peduncle_conf
492,1,6,1425.0,315.0,0.9377,,,,1925.0,563.0,0.2013,1477.0,427.0,0.1646,1633.0,355.0,0.3184,1621.0,451.0,0.9692,1765.0,531.0,0.1484
495,1,6,1441.0,310.0,0.9915,,,,1941.0,566.0,0.2009,1541.0,490.0,0.1367,1653.0,354.0,0.3497,1641.0,454.0,0.934,1825.0,566.0,0.1812
498,1,6,1460.0,310.0,0.9195,,,,1952.0,558.0,0.2781,1520.0,426.0,0.127,1668.0,350.0,0.3757,1668.0,454.0,0.968,1948.0,538.0,0.1328
501,1,6,1481.0,310.0,0.8945,,,,1973.0,562.0,0.2249,1541.0,434.0,0.1621,1693.0,354.0,0.361,1689.0,454.0,1.0343,1877.0,574.0,0.1506
504,1,6,1502.0,310.0,0.9007,,,,1994.0,562.0,0.297,1566.0,442.0,0.1246,1718.0,354.0,0.3411,1710.0,454.0,1.0634,1910.0,578.0,0.2264
507,1,6,1529.0,313.0,0.9094,,,,2017.0,561.0,0.2424,1593.0,445.0,0.1318,1741.0,357.0,0.3275,1737.0,457.0,1.1388,1949.0,581.0,0.2111
510,1,5,1553.0,317.0,0.7522,,,,2045.0,565.0,0.3906,,,,1765.0,357.0,0.313,1761.0,457.0,1.1418,1973.0,585.0,0.2074
513,1,6,1577.0,321.0,0.7781,,,,2069.0,569.0,0.4286,1625.0,441.0,0.1038,1789.0,361.0,0.2851,1785.0,461.0,1.1483,1993.0,585.0,0.2019
516,1,6,1598.0,321.0,0.8434,,,,2086.0,577.0,0.2912,1658.0,449.0,0.1315,1814.0,369.0,0.2833,1806.0,461.0,1.1487,2010.0,593.0,0.2064
519,1,6,1624.0,328.0,0.7518,,,,2092.0,564.0,0.1202,1684.0,452.0,0.1271,1836.0,372.0,0.2905,1824.0,464.0,0.9933,2016.0,592.0,0.1862
522,1,5,1649.0,335.0,0.8797,,,,,,,1709.0,439.0,0.1411,1853.0,375.0,0.299,1845.0,467.0,1.0091,2037.0,595.0,0.1369
525,1,6,1671.0,343.0,0.7653,,,,2143.0,571.0,0.1581,1727.0,447.0,0.1626,1871.0,371.0,0.2846,1863.0,467.0,0.9139,2027.0,571.0,0.2044
528,1,6,1696.0,342.0,0.7047,,,,2160.0,574.0,0.2081,1748.0,446.0,0.1569,1900.0,378.0,0.2922,1884.0,470.0,0.8801,2068.0,594.0,0.2208
531,1,7,1717.0,345.0,0.7688,2069.0,677.0,0.1127,2173.0,577.0,0.2714,1769.0,449.0,0.1276,1917.0,385.0,0.2736,1905.0,473.0,1.1281,2093.0,597.0,0.2363
534,1,7,1735.0,353.0,0.8161,2091.0,681.0,0.1274,2187.0,581.0,0.196,1787.0,449.0,0.131,1939.0,389.0,0.2675,1923.0,473.0,1.0799,2103.0,597.0,0.2338
540,1,7,1772.0,353.0,0.6728,2124.0,677.0,0.1211,2224.0,585.0,0.4221,1872.0,521.0,0.1183,1968.0,389.0,0.2239,1956.0,473.0,0.998,2132.0,597.0,0.2357
543,1,7,1790.0,353.0,0.7799,2142.0,673.0,0.1404,2238.0,585.0,0.4365,1846.0,457.0,0.1157,1978.0,389.0,0.1976,1974.0,473.0,1.0233,2150.0,597.0,0.2605
546,1,7,1804.0,356.0,0.6862,2156.0,672.0,0.1367,2244.0,580.0,0.3706,1888.0,516.0,0.1137,1988.0,384.0,0.2038,1992.0,476.0,1.1826,2164.0,596.0,0.2686
549,1,7,1820.0,356.0,0.7176,2168.0,672.0,0.1372,2256.0,584.0,0.3778,1868.0,460.0,0.1287,2004.0,396.0,0.184,2004.0,480.0,0.9924,2180.0,604.0,0.2962
552,1,7,1828.0,361.0,0.7389,2180.0,681.0,0.1515,2268.0,589.0,0.3762,1884.0,473.0,0.1157,2020.0,397.0,0.2031,2016.0,489.0,0.9307,2196.0,613.0,0.3011
555,1,7,1840.0,371.0,0.7776,2192.0,691.0,0.18,2280.0,595.0,0.3571,1892.0,475.0,0.1009,2004.0,395.0,0.1996,2028.0,499.0,0.9677,2212.0,623.0,0.2734
558,1,7,1848.0,383.0,0.7888,2200.0,703.0,0.1839,2292.0,607.0,0.3832,1904.0,491.0,0.1347,2024.0,411.0,0.2199,2040.0,515.0,0.9367,2224.0,639.0,0.3
561,1,7,1857.0,395.0,0.7123,2209.0,719.0,0.1644,2301.0,619.0,0.3281,1945.0,559.0,0.1019,2041.0,427.0,0.2756,2049.0,527.0,0.9549,2233.0,651.0,0.2963
564,1,7,1862.0,414.0,0.7638,2222.0,738.0,0.1747,2314.0,638.0,0.3109,1918.0,526.0,0.1247,2050.0,446.0,0.2727,2058.0,546.0,0.8905,2238.0,666.0,0.3009
567,1,7,1871.0,433.0,0.7224,2235.0,757.0,0.1528,2327.0,661.0,0.2886,1935.0,561.0,0.1202,2055.0,465.0,0.2685,2067.0,565.0,0.8226,2251.0,689.0,0.3257
570,1,7,1879.0,451.0,0.5709,2239.0,783.0,0.158,2335.0,679.0,0.3052,1935.0,575.0,0.1013,2063.0,487.0,0.2785,2079.0,591.0,0.9317,2255.0,707.0,0.2915
573,1,7,1881.0,476.0,0.6378,2249.0,812.0,0.1639,2341.0,708.0,0.3815,1945.0,588.0,0.1006,2069.0,508.0,0.2701,2085.0,616.0,0.8482,2269.0,736.0,0.3148
576,1,7,1883.0,502.0,0.5817,2255.0,834.0,0.1411,2355.0,738.0,0.4254,1943.0,622.0,0.1165,2071.0,530.0,0.2551,2091.0,642.0,0.8877,2267.0,754.0,0.2583
579,1,6,1893.0,527.0,0.5251,1889.0,523.0,0.1163,2365.0,767.0,0.4683,,,,2081.0,559.0,0.259,2097.0,667.0,0.8179,2273.0,783.0,0.2992
582,1,7,1899.0,555.0,0.5311,2263.0,891.0,0.1408,2375.0,795.0,0.4439,1955.0,679.0,0.1242,2083.0,583.0,0.2672,2103.0,699.0,1.0135,2263.0,799.0,0.2633
585,1,7,1905.0,587.0,0.5416,2269.0,923.0,0.1218,2377.0,827.0,0.5099,1957.0,707.0,0.1175,2081.0,607.0,0.2014,2109.0,731.0,0.9927,2285.0,843.0,0.2552
588,1,6,1908.0,614.0,0.5545,,,,2384.0,858.0,0.4389,1964.0,738.0,0.1414,2096.0,646.0,0.263,2112.0,762.0,0.9371,2284.0,870.0,0.2522
591,1,7,1912.0,650.0,0.4059,1904.0,638.0,0.1104,2384.0,890.0,0.4073,1964.0,770.0,0.1458,2100.0,674.0,0.2621,2112.0,794.0,0.8954,2296.0,910.0,0.2506
594,1,7,1911.0,682.0,0.4935,1907.0,678.0,0.1271,2391.0,926.0,0.353,1963.0,790.0,0.1009,2107.0,710.0,0.2629,2115.0,826.0,0.9432,2287.0,934.0,0.2541
597,1,7,1914.0,710.0,0.4418,1906.0,706.0,0.1329,2390.0,954.0,0.3804,1974.0,838.0,0.1162,2102.0,734.0,0.2503,2118.0,858.0,0.9829,2302.0,974.0,0.2204
600,1,7,1914.0,745.0,0.3751,1910.0,729.0,0.1311,2390.0,985.0,0.2905,1970.0,861.0,0.1364,2114.0,773.0,0.2936,2118.0,889.0,0.9893,2302.0,1005.0,0.2411
603,1,7,1917.0,773.0,0.4361,1917.0,769.0,0.1327,2393.0,1017.0,0.3533,1977.0,901.0,0.1282,2117.0,805.0,0.2988,2121.0,921.0,1.0164,2293.0,1029.0,0.2519
606,1,7,1922.0,805.0,0.528,1914.0,793.0,0.1349,2390.0,1045.0,0.2763,1982.0,937.0,0.1485,2118.0,833.0,0.2415,2118.0,953.0,0.8955,2306.0,1069.0,0.2239
609,1,7,1929.0,837.0,0.4186,1917.0,825.0,0.1454,2381.0,1077.0,0.3666,1981.0,957.0,0.1177,2117.0,869.0,0.2511,2121.0,985.0,1.046,2309.0,1101.0,0.2378
612,1,6,1926.0,866.0,0.5256,1918.0,870.0,0.1251,2386.0,1102.0,0.3399,,,,2114.0,898.0,0.2433,2118.0,1010.0,1.1199,2306.0,1126.0,0.2607
615,1,7,1927.0,884.0,0.608,2291.0,1220.0,0.1158,2383.0,1120.0,0.3483,1979.0,992.0,0.1081,2115.0,912.0,0.2504,2115.0,1032.0,0.9413,2307.0,1148.0,0.2349
618,1,7,1920.0,901.0,0.5388,2284.0,1233.0,0.136,2380.0,1133.0,0.3092,2000.0,1053.0,0.1053,2112.0,929.0,0.2766,2112.0,1045.0,0.9157,2276.0,1145.0,0.2058
621,1,7,1918.0,907.0,0.5045,2278.0,1235.0,0.1369,2374.0,1151.0,0.3328,1970.0,1019.0,0.1364,2110.0,943.0,0.2435,2106.0,1055.0,0.9148,2266.0,1151.0,0.2156
624,1,7,1915.0,916.0,0.5871,2271.0,1248.0,0.1234,2363.0,1152.0,0.3446,1959.0,1024.0,0.1143,2103.0,952.0,0.2766,2103.0,1064.0,1.091,2267.0,1164.0,0.2268
627,1,7,1906.0,924.0,0.5306,2266.0,1252.0,0.1229,2350.0,1152.0,0.3114,1958.0,1032.0,0.1242,2098.0,952.0,0.256,2094.0,1064.0,0.8886,2262.0,1172.0,0.2429
630,1,7,1901.0,920.0,0.521,2257.0,1252.0,0.1351,2337.0,1160.0,0.3282,1977.0,1076.0,0.1339,2089.0,956.0,0.2348,2085.0,1064.0,0.9738,2257.0,1176.0,0.2659
