frame,class_name,confidence,bbox,num_merged,merged_classes
1920,dorsal fin,0.1478644609451294,"[1314.59765625, 830.7101440429688, 1470.7635498046875, 890.7958374023438]",3,"{'dorsal fin': 0.1478644609451294, 'whale': 0.1313229650259018, 'marine mammal': 0.05739455297589302}"
1950,dorsal fin,0.37109124660491943,"[1316.192138671875, 814.88232421875, 1469.0943603515625, 889.70361328125]",1,{'dorsal fin': 0.37109124660491943}
1980,marine mammal,0.49334919452667236,"[1334.5357666015625, 831.217529296875, 1374.8607177734375, 890.95751953125]",2,"{'marine mammal': 0.49334919452667236, 'dorsal fin': 0.3577252924442291}"
1980,whale,0.0717216357588768,"[1333.612548828125, 831.8256225585938, 1493.604248046875, 891.2147827148438]",2,"{'whale': 0.0717216357588768, 'dorsal fin': 0.07141796499490738}"
2010,marine mammal,0.2698615491390228,"[1304.7418212890625, 847.2662353515625, 1333.8372802734375, 897.1088256835938]",2,"{'marine mammal': 0.2698615491390228, 'dorsal fin': 0.2637503147125244}"
2040,whale,0.09085672348737717,"[1128.9969482421875, 880.7565307617188, 1175.5650634765625, 893.2710571289062]",1,{'whale': 0.09085672348737717}
2040,dorsal fin,0.05359393358230591,"[1282.8414306640625, 860.0462036132812, 1301.2926025390625, 891.9673461914062]",1,{'dorsal fin': 0.05359393358230591}
2070,dorsal fin,0.050094399601221085,"[1156.01708984375, 874.9575805664062, 1168.9197998046875, 892.0907592773438]",1,{'dorsal fin': 0.050094399601221085}
2100,whale,0.28470319509506226,"[1055.5491943359375, 874.908935546875, 1145.42724609375, 898.8593139648438]",1,{'whale': 0.28470319509506226}
2130,whale,0.25062844157218933,"[497.3214111328125, 642.797607421875, 576.2071533203125, 703.6358642578125]",3,"{'whale': 0.25062844157218933, 'marine mammal': 0.23128174245357513, 'dorsal fin': 0.1357659548521042}"
2130,marine mammal,0.0948859378695488,"[135.33187866210938, 626.7724609375, 578.822021484375, 707.940185546875]",1,{'marine mammal': 0.0948859378695488}
2160,marine mammal,0.5580899119377136,"[161.80746459960938, 611.3018798828125, 616.2507934570312, 713.16650390625]",1,{'marine mammal': 0.5580899119377136}
2160,dorsal fin,0.1317528486251831,"[1180.65087890625, 856.2180786132812, 1220.0369873046875, 908.31689453125]",1,{'dorsal fin': 0.1317528486251831}
2160,marine mammal,0.06388483196496964,"[158.813232421875, 468.728515625, 617.3516845703125, 713.81103515625]",1,{'marine mammal': 0.06388483196496964}
2190,marine mammal,0.6855745911598206,"[200.82130432128906, 579.7709350585938, 658.8768310546875, 723.3157348632812]",1,{'marine mammal': 0.6855745911598206}
2220,marine mammal,0.38118603825569153,"[214.93093872070312, 557.0745849609375, 724.397705078125, 729.2354736328125]",1,{'marine mammal': 0.38118603825569153}
2250,marine mammal,0.44681316614151,"[254.72451782226562, 549.7086181640625, 810.3015747070312, 739.7876586914062]",1,{'marine mammal': 0.44681316614151}
2280,marine mammal,0.5035435557365417,"[286.1241760253906, 554.1280517578125, 860.2440185546875, 739.7626342773438]",1,{'marine mammal': 0.5035435557365417}
2310,marine mammal,0.2828890383243561,"[311.43658447265625, 566.4614868164062, 886.0994262695312, 743.4532470703125]",3,"{'marine mammal': 0.2828890383243561, 'whale': 0.21106137335300446, 'killer whale': 0.09869290888309479}"
2340,marine mammal,0.40034976601600647,"[337.5010986328125, 571.396240234375, 917.3097534179688, 745.6260375976562]",3,"{'marine mammal': 0.40034976601600647, 'whale': 0.06482212245464325, 'killer whale': 0.07777873426675797}"
2400,whale,0.3873709738254547,"[742.2009887695312, 766.4946899414062, 849.2481079101562, 800.9075317382812]",3,"{'whale': 0.3873709738254547, 'dorsal fin': 0.3521297574043274, 'marine mammal': 0.07598409801721573}"
2430,marine mammal,0.3698754608631134,"[802.7301635742188, 750.97265625, 902.9683227539062, 817.0762939453125]",2,"{'marine mammal': 0.3698754608631134, 'dorsal fin': 0.35024362802505493}"
2460,whale,0.5489035248756409,"[820.0801391601562, 779.8862915039062, 932.0879516601562, 836.6407470703125]",3,"{'whale': 0.3556940257549286, 'marine mammal': 0.46548521518707275, 'dorsal fin': 0.17739257216453552}"
2460,marine mammal,0.060431934893131256,"[813.2943115234375, 740.3687133789062, 1011.5052490234375, 838.4022827148438]",1,{'marine mammal': 0.060431934893131256}
